DATA,Umidità massima (%),Umidità media (%),Umidità minima (%),Precipitazione (mm),Temperatura media (°C),Temperatura massima (°C),Temperatura minima (°C),Velocità media (m/s),Velocità raffica (m/s),Settore prevalente,Tempo permanenza (min),Durata calma (min),Valore pressione,Stagione
2021-01-01,100,92,68,2.4,0.1,2.3,-1.3,0.9,5.9,SW,360.0,100.0,942.6,Inverno
2021-01-02,100,100,100,21.8,0.7,1.5,0.0,1.0,4.5,SW,560.0,100.0,939.9,Inverno
2021-01-03,100,100,99,6.8,1.2,2.5,0.5,1.2,4.2,SW,380.0,10.0,941.8,Inverno
2021-01-04,100,100,100,10.6,0.4,1.1,-0.2,0.7,3.2,S,200.0,110.0,942.8,Inverno
2021-01-05,100,100,100,34.0,0.3,1.1,-0.4,0.8,2.8,WSW,360.0,150.0,941.8,Inverno
2021-01-06,100,89,67,0.0,0.1,4.9,-3.4,1.4,6.1,SW,730.0,10.0,943.0,Inverno
2021-01-07,96,80,62,0.0,-2.0,1.9,-4.5,1.7,5.4,SW,680.0,0.0,947.0,Inverno
2021-01-08,83,66,42,0.0,-2.2,3.9,-5.4,2.0,6.1,SW,910.0,0.0,946.9,Inverno
2021-01-09,83,69,54,0.0,-1.3,2.1,-4.1,1.3,5.2,SW,710.0,60.0,950.4,Inverno
2021-01-10,89,72,53,0.0,-0.7,2.2,-4.6,1.2,4.7,SW,540.0,10.0,950.4,Inverno
2021-01-11,89,70,49,0.0,-3.5,1.9,-6.4,1.5,5.3,SW,670.0,0.0,951.2,Inverno
2021-01-12,87,68,40,0.0,-2.0,5.0,-6.1,1.2,6.8,SW,520.0,60.0,948.2,Inverno
2021-01-13,84,56,31,0.0,6.2,13.5,0.9,2.3,8.5,SW,670.0,10.0,947.0,Inverno
2021-01-14,94,52,23,0.0,8.2,17.2,1.2,2.6,11.1,SW,490.0,10.0,944.1,Inverno
2021-01-15,100,78,55,0.0,2.3,5.6,-1.7,1.1,4.6,SW,310.0,120.0,949.7,Inverno
2021-01-16,100,89,67,0.0,-1.1,3.8,-3.6,0.9,3.1,WSW,290.0,110.0,952.7,Inverno
2021-01-17,100,74,44,0.0,0.1,5.1,-4.5,1.5,7.4,SW,420.0,10.0,948.3,Inverno
2021-01-18,70,49,28,0.0,2.1,8.1,-2.3,1.7,5.4,SW,640.0,30.0,955.5,Inverno
2021-01-19,74,57,39,0.0,0.7,6.3,-2.1,1.5,4.7,SW,600.0,10.0,956.0,Inverno
2021-01-20,89,68,49,0.0,1.0,6.3,-2.6,1.4,5.2,SW,500.0,90.0,952.9,Inverno
2021-01-21,100,90,68,0.0,1.7,5.3,-0.6,0.8,3.7,SE,170.0,90.0,947.5,Inverno
2021-01-22,100,100,100,21.4,0.6,2.0,-0.9,1.0,6.6,SW,270.0,110.0,935.7,Inverno
2021-01-23,100,58,22,0.0,5.5,12.3,0.5,2.8,9.5,SW,730.0,0.0,929.9,Inverno
2021-01-24,100,59,29,0.0,3.5,9.6,-0.7,1.6,6.4,SW,420.0,80.0,933.3,Inverno
2021-01-25,82,47,25,0.0,2.4,8.1,-2.5,1.7,6.9,SW,490.0,20.0,937.1,Inverno
2021-01-26,49,35,18,0.0,1.4,6.6,-1.7,2.2,7.9,SW,750.0,0.0,949.7,Inverno
2021-01-27,66,48,27,0.0,0.8,6.2,-2.3,1.4,4.7,WSW,520.0,10.0,949.6,Inverno
2021-01-28,78,62,39,0.0,1.7,8.7,-3.3,1.3,6.1,SW,400.0,30.0,945.8,Inverno
2021-01-29,91,55,28,0.0,7.8,13.4,1.0,1.8,8.9,WSW,390.0,50.0,940.2,Inverno
2021-01-30,100,56,37,2.2,6.8,10.7,2.9,1.7,8.1,SW,310.0,30.0,935.1,Inverno
2021-01-31,100,85,56,0.0,5.0,11.8,0.6,1.1,4.7,S,230.0,40.0,931.8,Inverno
2021-02-01,100,95,84,0.0,4.2,5.1,3.0,1.0,4.8,SSE,240.0,90.0,934.8,Inverno
2021-02-02,100,90,71,0.0,3.8,8.3,-0.4,1.2,5.0,WSW,240.0,30.0,944.7,Inverno
2021-02-03,100,94,80,0.0,4.8,7.2,3.7,0.9,3.6,SE,220.0,190.0,947.7,Inverno
2021-02-04,100,91,79,0.0,5.2,6.9,3.1,1.5,6.5,SW,480.0,30.0,950.6,Inverno
2021-02-05,100,88,76,0.0,7.0,10.1,4.6,1.2,5.0,SW,210.0,40.0,951.2,Inverno
2021-02-06,100,98,91,1.8,5.8,7.2,4.0,0.7,2.6,N,240.0,110.0,946.9,Inverno
2021-02-07,100,98,75,9.2,4.6,7.9,1.5,1.4,6.5,SW,460.0,30.0,933.1,Inverno
2021-02-08,99,63,35,0.6,5.0,10.4,-1.2,1.3,6.4,SW,300.0,30.0,928.9,Inverno
2021-02-09,100,84,60,2.4,5.5,9.3,1.8,1.3,5.1,SW,200.0,30.0,934.0,Inverno
2021-02-10,100,79,41,4.6,5.8,9.6,2.2,1.8,9.3,SW,500.0,10.0,934.2,Inverno
2021-02-11,85,56,33,0.0,7.1,10.7,2.5,2.2,10.2,SW,400.0,10.0,944.8,Inverno
2021-02-12,100,99,80,1.6,0.8,3.4,-1.3,1.4,6.3,N,440.0,0.0,954.6,Inverno
2021-02-13,100,99,92,0.2,-3.7,-1.3,-6.8,1.4,5.3,NNE,320.0,30.0,960.6,Inverno
2021-02-14,98,61,17,0.0,-2.2,3.7,-7.1,2.1,7.0,SW,770.0,10.0,968.8,Inverno
2021-02-15,70,53,32,0.0,-0.2,4.2,-3.8,1.4,4.9,SW,450.0,40.0,967.5,Inverno
