,Unnamed: 0.1,Unnamed: 0,DATA,Umidità massima (%),Umidità media (%),Umidità minima (%),Precipitazione (mm),Temperatura media (°C),Temperatura massima (°C),Temperatura minima (°C),Velocità media (m/s),Velocità raffica (m/s),Valore pressione,Stagione,Pressione prevista domani,Precipitazione prevista domani,Temperatura prevista domani,Umidità prevista domani,Vento previsto domani,Pressione prevista dopodomani,Precipitazione prevista dopodomani,Temperatura prevista dopodomani,Umidità prevista dopodomani,Vento previsto dopodomani,Pressione prevista dopodopodomani,Precipitazione prevista dopodopodomani,Temperatura prevista dopodopodomani,Umidità prevista dopodopodomani,Vento previsto dopodopodomani
0,0,0,2021-01-01,100,92,68,2.4,0.1,2.3,-1.3,0.9,5.9,942.6,0,939.9,21.8,0.7,100.0,1.0,941.8,6.8,1.2,100.0,1.2,942.8,10.6,0.4,100.0,0.7
1,1,1,2021-01-02,100,100,100,21.8,0.7,1.5,0.0,1.0,4.5,939.9,0,941.8,6.8,1.2,100.0,1.2,942.8,10.6,0.4,100.0,0.7,941.8,34.0,0.3,100.0,0.8
2,2,2,2021-01-03,100,100,99,6.8,1.2,2.5,0.5,1.2,4.2,941.8,0,942.8,10.6,0.4,100.0,0.7,941.8,34.0,0.3,100.0,0.8,943.0,0.0,0.1,89.0,1.4
3,3,3,2021-01-04,100,100,100,10.6,0.4,1.1,-0.2,0.7,3.2,942.8,0,941.8,34.0,0.3,100.0,0.8,943.0,0.0,0.1,89.0,1.4,947.0,0.0,-2.0,80.0,1.7
4,4,4,2021-01-05,100,100,100,34.0,0.3,1.1,-0.4,0.8,2.8,941.8,0,943.0,0.0,0.1,89.0,1.4,947.0,0.0,-2.0,80.0,1.7,946.9,0.0,-2.2,66.0,2.0
5,5,5,2021-01-06,100,89,67,0.0,0.1,4.9,-3.4,1.4,6.1,943.0,0,947.0,0.0,-2.0,80.0,1.7,946.9,0.0,-2.2,66.0,2.0,950.4,0.0,-1.3,69.0,1.3
6,6,6,2021-01-07,96,80,62,0.0,-2.0,1.9,-4.5,1.7,5.4,947.0,0,946.9,0.0,-2.2,66.0,2.0,950.4,0.0,-1.3,69.0,1.3,950.4,0.0,-0.7,72.0,1.2
7,7,7,2021-01-08,83,66,42,0.0,-2.2,3.9,-5.4,2.0,6.1,946.9,0,950.4,0.0,-1.3,69.0,1.3,950.4,0.0,-0.7,72.0,1.2,951.2,0.0,-3.5,70.0,1.5
8,8,8,2021-01-09,83,69,54,0.0,-1.3,2.1,-4.1,1.3,5.2,950.4,0,950.4,0.0,-0.7,72.0,1.2,951.2,0.0,-3.5,70.0,1.5,948.2,0.0,-2.0,68.0,1.2
9,9,9,2021-01-10,89,72,53,0.0,-0.7,2.2,-4.6,1.2,4.7,950.4,0,951.2,0.0,-3.5,70.0,1.5,948.2,0.0,-2.0,68.0,1.2,947.0,0.0,6.2,56.0,2.3
10,10,10,2021-01-11,89,70,49,0.0,-3.5,1.9,-6.4,1.5,5.3,951.2,0,948.2,0.0,-2.0,68.0,1.2,947.0,0.0,6.2,56.0,2.3,944.1,0.0,8.2,52.0,2.6
11,11,11,2021-01-12,87,68,40,0.0,-2.0,5.0,-6.1,1.2,6.8,948.2,0,947.0,0.0,6.2,56.0,2.3,944.1,0.0,8.2,52.0,2.6,949.7,0.0,2.3,78.0,1.1
12,12,12,2021-01-13,84,56,31,0.0,6.2,13.5,0.9,2.3,8.5,947.0,0,944.1,0.0,8.2,52.0,2.6,949.7,0.0,2.3,78.0,1.1,952.7,0.0,-1.1,89.0,0.9
13,13,13,2021-01-14,94,52,23,0.0,8.2,17.2,1.2,2.6,11.1,944.1,0,949.7,0.0,2.3,78.0,1.1,952.7,0.0,-1.1,89.0,0.9,948.3,0.0,0.1,74.0,1.5
14,14,14,2021-01-15,100,78,55,0.0,2.3,5.6,-1.7,1.1,4.6,949.7,0,952.7,0.0,-1.1,89.0,0.9,948.3,0.0,0.1,74.0,1.5,955.5,0.0,2.1,49.0,1.7
15,15,15,2021-01-16,100,89,67,0.0,-1.1,3.8,-3.6,0.9,3.1,952.7,0,948.3,0.0,0.1,74.0,1.5,955.5,0.0,2.1,49.0,1.7,956.0,0.0,0.7,57.0,1.5
16,16,16,2021-01-17,100,74,44,0.0,0.1,5.1,-4.5,1.5,7.4,948.3,0,955.5,0.0,2.1,49.0,1.7,956.0,0.0,0.7,57.0,1.5,952.9,0.0,1.0,68.0,1.4
17,17,17,2021-01-18,70,49,28,0.0,2.1,8.1,-2.3,1.7,5.4,955.5,0,956.0,0.0,0.7,57.0,1.5,952.9,0.0,1.0,68.0,1.4,947.5,0.0,1.7,90.0,0.8
